"","camis_ls","phone_ls","id","rating","review_count","lat","lon","price"
"1","14549","+13476927289","7QNfgCS66llLCsVu_8VOyA","4","324","40.7481116799498","-73.992917656414","$$"
"2","12690","+12127601900","pmr7tscq9vix9L0bIXpgnQ","3.5","209","40.7480764","-73.9927691","$"
"3","10998","+13477305783","Eq9oku1_AfmFkZ_t_0VGEQ","3","83","40.7481253892183","-73.9927925169468","$"
"4","14904","+17188929393","me1IBLFIImlQsafNPvMKdQ","3.5","250","40.7578909","-73.927405","$$"
"5","5763","+17186566210","26BmJf4fIKVJL_3lYYgOZw","4","1","40.72768","-73.99961","$$"
"6","3237","+12129643537","WyW5XuNTXJrfxTTMzJxCUQ","3","23","40.645929","-73.77769","$$"
"7","17090","+13477131222","kMXPAmSCZX1tjtQ21-U2RA","2","1","40.641313","-73.778139",NA
"8","8611","+17184453155","nN_NuXYC606JLsnERRIY_g","2.5","30","40.6457269271523","-73.7755967489247","$$"
"9","20026","+17183588895","mx4RsihuvH8ysNaCVpQs6g","2.5","88","40.6438633299947","-73.7813438548279","$$"
"10","5196","+12129675276","DY5mGdwvJbhQtcUkw1PEtA","2.5","8","40.6546707","-73.7891083",NA
"11","23689","+17183832519","KeTnB4wiSKj_45Cf2JnYjA","2","26","40.646213","-73.777703","$$"
"12","16849","+12127555900","8h8KB7aj8OdCTIC5P6gJ1A","1.5","154","40.6456626506634","-73.7755363972534","$$"
"13","26847","+15713345843","rlZP-SWgNXH-2Ejp9dHEgw","4","268","40.70766","-74.00205","$"
"14","14209","+17188285510","O12wSHnwyGRx3tEra4iK-w","4","32","40.60497","-73.99768","$"
"15","12741","+17183097452","sA4GjELUIqBHOQsAVBxbMA","4","35","40.7718582","-73.8267593","$$"
"16","14958","+16465592502","GVAz_s1aU64uNenO-EXHBQ","3.5","8","40.7718582","-73.8267593","$$"
"17","18213","+12126159700","pI1ln6Oqc92RVSCIn54ioQ","4","4","40.7718696445227","-73.826642408967","$$"
"18","15148","+13475565923","vq5-_W_nqVIY5u07PcpCUw","1","1","40.7717887","-73.8267573",NA
"19","12926","+17183784045","PSGcmG-ONgJAfnAR_jfrJA","1","1","40.7717896","-73.8267593","$$"
"20","6404","+17183518133","RBfkfagpW4qybAb6u3wh2Q","3","66","40.7634106","-73.8281511","$$$"
"21","22583","+17184801552","yJ49yBfKD5QQttQrMEPtAw","2.5","11","40.75159","-73.99206","$$"
"22","2116","+12129667867","VpAxR3a1M0ajVckGa-derQ","2.5","46","40.757545","-73.990545","$$"
"23","21035","+19172658512","tdWg-eGacW6d3XOtbxBX5Q","4","112","40.755745","-73.973492","$$$"
"24","5612","+17182308280","hZW6QVYmftAvvzwljqiQRg","3.5","30","40.7557691328591","-73.973492904438","$$"
"25","8693","+17183218566","rom1zbuBHhKpCOlpNzOC_A","3","130","40.755744934082","-73.9734954833984","$$$"
"26","4424","+17185854148","p1ZqKDHlKJGerMUrK_w9Yg","4.5","2","40.833766","-73.857997","$"
"27","18374","+19173464330","7irIY1oQBPZWsILZssSg7g","2.5","17","40.8337097","-73.9448013","$"
"28","6817","+17184351997","9RKUVkzLmZgGJUi2l5VJvg","4","20","40.573565","-74.1071","$"
"29","21388","+16468761232","d28eOyU6dY29ltshnIBy8Q","3.5","2","40.6863","-73.83961","$$"
"30","10439","+17188032488","0hkTO8W3g3r5p27XRKxJRw","4","424","40.7173118","-73.9982466","$"
"31","11609","+17188590039","WOrCzAOgs50Wf-dlnHrzDw","3.5","155","40.677433","-73.980079","$"
"32","786","+17185394570","E8pooTXfQLYCcS3ncjruXA","3.5","199","40.75958","-73.8305","$$"
"33","6651","+17188438387","TV_rsstsxdcFh_YmaSSv_g","4","16","40.80622","-73.91748","$$"
"34","18585","+16469461940","giuBfo5gckSXmQwV08Piyg","4.5","186","40.648564","-73.978829","$"
"35","9089","+19293376117","ddKmJRZ3D1iS-gbZq03OWQ","4","332","40.7595053740559","-73.9854379268717","$"
"36","18658","+17186689474","Ot8hO6DqtS1QWIqyxPnxFw","3.5","6","40.7471809","-73.8841095","$"
"37","2676","+17185843788","j_sgSqCkpf7frxogpd1ntQ","2","47","40.6309725","-73.9454676","$$$"
"38","21939","+16466924078","08oFwb0IEP4jmNUkbZ4H6g","2.5","6","41.3123966443","-73.868101640979","$$"
"39","21991","+17187681052","seru9NOkgbUQtMbltDwyVQ","1.5","37","40.7700930739189","-73.8344416022301","$$"
"40","22995","+17184433388","L1gs262Sz476G9tOzuoJxg","4","236","40.6494053","-73.837026","$"
"41","22537","+17182957272","VEwdwEVGEaESHW4LlCLkig","4.5","54","40.68007","-73.99685","$$"
"42","15540","+12122289688","sGpb_rDDXAH9sw8xWOUTjQ","5","45","40.5715479","-74.1120343","$"
"43","7027","+12122288020","9jbNi27lKFGRCoPTD1PO9g","3.5","27","40.85514","-73.88776","$"
"44","18651","+17183701000","cACaqFsTYJXvi6CHZjbKiQ","3","49","40.74083","-73.98347","$"
"45","16822","+16466785382","1aBnxo7NTxHNIt4BOuG51Q","3","34","40.666347","-73.988288","$$"
"46","13150","+12122162404","WELTQ_RjOH_Al_f5OK88WA","4","10","40.698801","-73.917241","$$"
"47","16066","+17184233800","BoigCTThK2vS1MKYaB6Tvg","4.5","2","40.8585780858994","-73.904400318861","$$"
"48","12044","+17186161399","CSiYY4hKPYUWM6X3T9OJqw","2","9","40.852412","-73.908939","$$"
"49","12979","+12127227300","WzdVUuFIv1JzLPTZRnTjVA","4","206","40.7254099","-73.98327","$$"
"50","14182","+13478538888","fPG9DGa3UVObGVWM4e3GSA","4","33","40.7254099","-73.98327","$"
"51","11816","+17187885338","SXzr_j8EUjm-fooy0X45eQ","4","164","40.7253043","-73.9833237",NA
"52","2744","+12126736270","PA0YZcAO59uTjE_aLqChFw","3","561","40.72954","-73.98744","$"
"53","17000","+17182828288","noD61Q3PYbzIqvW1Yr7Nag","2.5","28","40.6250321120024","-74.1482694447041","$$$"
"54","24786","+19174155465","Jy2YUjWlAZHYFq07KFfBiA","3.5","66","40.74222","-74.00466","$"
