"","camis_ls","phone_ls","id","rating","review_count","lat","lon","price"
"1","22975","+13474259854","-MAZ8nAtKIIIXQ0_SqnXMw","4","68","40.680043","-73.977872","$"
"2","10638","+17187894040","opCMbGK-fvGPRSBibPzu3w","3.5","223","40.7626","-73.98566","$"
"3","25411","+15165743314","wdP4BAU88HwhpBj3-gPnww","1.5","9","40.7631185","-73.9852592","$"
"4","8360","+12124896187","u1dEMaP86MKl7lO5MyJLhg","4","196","40.789234","-73.813417","$$"
"5","9597","+17187471465","B55Ocx5RBWxo6AGSucYSIA","4","2256","40.74435","-73.98778","$$$"
"6","15637","+15166748200","G65jVYSAYE-74TCcnU2n8A","4","121","40.6844032","-73.9918238","$"
"7","5045","+12126832929","myYOl6CDu1fieWKxXn-1Og","3.5","294","40.7267198","-74.0027459","$$$"
"8","23587","+19177551770","EcGGPApH_o84-_kmi-RaJw","3.5","6","40.6555216","-74.0033898","$$"
"9","22066","+17182461416","EomjazxrPUPOiKSyKmD34Q","4","2","40.883712","-73.901855","$"
"10","9673","+12123350566","bVaKnuOt5TCRWGkMG5PMnQ","4","7","40.8835487","-73.9017334","$"
"11","5566","+17184998235","Ks_oErah1mfkGEDij9lMhQ","3.5","124","40.62661","-74.158427","$$"
"12","3811","+17187967253","Aj6WsrKie1y1juG6M9N3NA","3","47","40.65234","-73.95902","$"
"13","21970","+13473692768","_7ZdtwkLXl0W5nJW3MDcKA","2.5","6","40.65234","-73.95902",NA
"14","409","+17184477885","lUQR6cZlHHKXOksH5xOTqA","4","368","40.76005","-73.98913","$$"
"15","1404","+17182878800","gezQ7NqBEKPYR8rZ_m_z0g","3","2","40.8626357108995","-73.906619773583","$$"
"16","87","+12125816464","IuMvrvXTTZm4NQYO1O1dbg","4","32","40.699183","-73.91304","$$"
"17","6071","+17187983950","BFhqkWaninG54vhiX8ppVw","4","91","40.727733","-73.999557","$"
"18","20094","+17183672080","N7Lt-uH4KPAlSeTFSgED2g","3.5","35","40.72533","-74.007392","$"
"19","19175","+17183663790","ibxmVqo3oYYpuxi3DJd3fg","2.5","11","40.8856363137326","-73.8268395550949","$"
"20","10114","+17182605350","aUN66Q9BwSg5zH3Bu3_UUw","4.5","60","34.02144","-118.49591","$"
"21","16151","+12127770327","goA3gE2efEA5YndxkU8hZw","4.5","46","40.7563699","-73.97692","$$"
"22","3107","+13477398410","SHC6QgCkPEMrcIF368fZxQ","4.5","106","34.1431130582762","-118.398057008139","$"
"23","5210","+12122068530","NYU2iSBy2nwBmggb07FWXA","4.5","246","40.7554239","-73.9705679","$$"
"24","10315","+17189942083","_FwUSTdbmZEMF4Xld29SgA","4.5","103","40.75257","-73.98789","$$"
"25","21802","+17183746858","saQaI-1mz1KJkdZAL2Vh-g","4.5","49","34.071969","-118.366033","$$"
"26","11444","+16465978172","t6TzNUUY2ez6s-GYOLs4VA","4","70","40.7520108234429","-73.9987181054878","$$"
"27","16101","+12124656273","xz1p8uJ9dfh5YVzK_WNxzQ","4","234","37.79375","-122.39906","$$"
"28","11255","+17183865913","AZgVdklWtIJ-jmfJmCeMRA","4","97","34.071404","-118.343844","$$"
"29","25698","+12124896959","fiSoX8Zcu2_UQItd5ORHTQ","4","59","33.9987","-118.47341","$$"
"30","21964","+16462648426","83BvAmplqhRpLJQeX1L5nA","4","137","40.7416010355079","-74.0294096573144","$$"
"31","12331","+17186344939","PU57uvvFmUIV4vbBCyVCOg","4","149","40.73","-74.00283","$"
"32","15054","+16469227095","O6LArju5DvLrGNrvErieVA","4","239","40.7063436944471","-74.0118295429916","$$"
"33","2067","+17185455304","5Y7cqSgUSfLwn7ulBeO_sA","4","66","39.9513885875772","-75.1631133975116","$$"
"34","21028","+17188802993","Xbx0B7y0MAKgR4tqQvWazw","4","33","40.08778","-75.390782","$$"
"35","24957","+19174736670","HYCnQ1-b9NkzVTzuo5vxvQ","4","108","40.730139","-73.9901293","$"
"36","10786","+17189788433","s6NjuiNtX0HU3viSNAm6ug","4","79","40.756538","-73.989889","$$"
