"","camis_ls","phone_ls","id","rating","review_count","lat","lon","price"
"1","759","+17184451313","Cf_XvhoRJj9Ku0glKGu7aQ","4.5","475","40.76032","-73.82813","$"
"2","14170","+17186872288","rC8oFiVq3LZ70SESzpjcPQ","3","6","40.6625209","-73.939955","$$"
"3","8242","+17185244651","eybrq-0U5suwVtjWJPCaqw","3.5","365","40.6861000061035","-73.9730529785156","$$"
"4","12971","+13474251450","Y2tAh819AT68bqKXmHU4jQ","4.5","30","40.75438","-73.97924","$$$"
"5","10264","+17185226370","dIaEnBKCUZQLTEjNFllIzQ","3.5","9","40.824531","-73.951332","$"
"6","509","+12129860300","l601YDo9BgHFTcJimUUZVQ","3","17","40.867","-73.8966","$"
"7","13271","+12123687100","MJr3nlShGfwBQZKqc2TvkQ","4","7","40.6542699","-73.95942",NA
"8","10615","+16469186207","aTNSJt9RPV0KrfEE1QNH8w","2.5","12","40.6542702","-73.9591904","$"
"9","19448","+19174727335","4IHwrP7F1F8fLuRI9_4c9w","2.5","264","40.759871","-73.971123","$$"
"10","13753","+13476320767","QZcRSVUltJ6YreTeDx52lQ","4","184","40.670295715332","-73.9790954589844","$"
"11","12606","+17188566677","7xY3vxBy7yFF5dVAi-6hPQ","4","49","40.7994318892483","-73.9398034173906","$"
"12","13430","+19177157130","jZZMmT7Mk3S-fNjXcq3Ksg","4","388","40.716083","-73.964752","$$"
"13","11633","+12127597777","S9T8kG8xTPaQ1PxLE_VdYg","4","45","40.73904","-73.98916","$"
"14","20652","+16465231516","NG-KlDcSjBk3pfdzjXmMVw","4","73","40.68857","-73.98334","$$"
"15","2461","+17187684961","BG7n2MXUNCFcl8cReeg6cQ","3","43","40.7519785477564","-73.9097768663294","$$"
"16","14887","+12128282382","DoFJIPNvBejMKBc_lM3K9w","3.5","26","40.757736","-73.829666","$"
"17","13208","+17182856180","POGfmcCkuLpkP_Vz98DuwQ","2.5","741","40.7318059","-74.0035903","$$"
"18","2185","+17185331389","Y2I946V78wOdwaUD9chmqg","4","356","40.8026","-73.96437","$"
"19","2034","+17183588878","r0kjf2R2H0GMJm5Yj4AusA","3.5","457","40.73903","-73.98278","$$"
"20","5682","+17186255089","39DkqP6gE075zw2i74NSHA","2.5","10","40.7812851016194","-73.8410423065461","$$$"
"21","1208","+12122438517","Fm8l6uRzRY75hR-cBMAaFg","4","18","40.7247792661615","-73.8795843363104",NA
"22","3558","+12126661500","C4slmWP5Pcs_TjcVBeDIlw","3.5","10","40.7247017922836","-73.8797611300126","$$"
"23","8139","+12127254766","KXWn2VP9NEnJLOsw4fiphQ","5","1","40.7245993","-73.8797304","$$"
"24","10163","+17183533374","V5yuXlKafBlzfQxmvUyecw","3","9","40.7245979","-73.8797302","$$"
"25","24147","+17184578936","RUnj4RTVOSbbHE5zyguhrg","4","77","40.777674","-73.908463","$"
"26","8674","+17189563677","CHuR8YJcyk34jwh6vjG7_w","3.5","228","40.7593","-73.76843","$$"
"27","7728","+17182251010","jaI-v4TJYW9Sm4k0h2vm5Q","3","58","40.72033","-73.98761","$$"
"28","14598","+12122544440","9XuL2AQt4AKMXEBbSsU75A","4","96","40.58147","-74.0984299","$$$"
"29","20890","+17189796122","yhjY3a7C4egLCecocvkeGA","2.5","21","40.5978393554688","-73.9417266845703","$"
"30","13907","+17186467272","OvTEmgNy3yhSlT-YkXQNvQ","3","5","40.6778427217413","-73.7448210329714","$$"
"31","12964","+17189788600","LsITU8KVYMhV_fatv84wWA","4","1702","40.727574","-73.988623","$$"
