"","camis_ls","phone_ls","id","rating","review_count","lat","lon","price"
"57","12428","+12126732424","HbCyzokiA19bEWUp6mga_g","4.5","173","40.723937","-73.983519","$"
"58","18681","+12123370404","ZQ-dG0tuqniCmfJ2mptRpQ","4","78","40.70803","-74.00785","$$"
"59","22752","+17182641960","KXNfpZ8obptno2W0TjdenA","4","416","40.7292048796869","-74.0038925739262","$"
"60","22903","+17189260766","WezGqBNhTo7XT2XzIlkuKA","3.5","3","40.7094612121582","-73.7748260498047","$"
"61","10928","+12126800101","qcMpRNrnS6gggYv28dgm_A","4","146","40.7194897","-74.0041143883606","$$"
"62","16662","+12122431311","q1zArJ0ezScEHW-NPExyMQ","4","142","40.7331756","-74.0067516","$$"
"63","10473","+17182416115","4LoroCI3VtQ17dyQa75-Rg","4","199","40.7331","-74.0067","$$"
"64","101","+17184749600","sYRhc9liDE2tzMyS-pVwhg","4","30","40.6190665","-73.9226018","$$"
"65","18117","+12124774834","lwofc642jUDe0PSJ_Z_VWg","4","8","40.58121","-73.8299399","$$"
"66","22934","+17184701116","NKI1VvfXYluRjnq4S6yEuw","4.5","287","40.72378","-73.98849","$$$"
"67","8501","+17182062899","KXFx3jbZYyHvxrxl0Izokw","4.5","26","40.7266753965149","-73.7167335301638","$$"
"68","21618","+12127220558","LyVdb1eW0dWA5ViCXVsruA","3","13","40.700619","-73.808194","$$"
"69","21095","+19172852790","Wbmqg0TkOVkzNh3HrJ9DIQ","4","705","40.7791481018066","-73.9504165649414","$$"
"70","10812","+12125298880","mWRLcx1mRZsIMVelQq6RQQ","4","119","40.779148","-73.950409","$$$"
"71","5851","+17183428032","VGICUq76seDJ09c_sl9c3Q","3.5","21","40.7625200850465","-73.8151400908828","$$"
"72","17393","+19173865726","-vF3hX7v1R4oAjfNgifZvA","4","448","40.7325189","-73.9881274","$$"
"73","3926","+17186994433","4kScovst1dFmDoisyIMMpw","2.5","2","40.6687382633411","-73.9174987560195","$$"
"74","2735","+17182986096","H8iYu8lF_qIAwfoJCz19Jw","3","22","40.737406","-73.863852","$$"
"75","10049","+12122832700","IJG5kUHB0u4sE4_QcIJu1g","3","66","40.7120813946899","-73.7893348390487","$$"
"76","16720","+12127142113","x2fxcvfifzsBvHTE0zifsw","4.5","26","40.8255961","-73.9438769","$"
"77","657","+12125347522","Ge8ijlycNn1ba1oBAbO6sw","4","17","40.825265","-73.944251","$$"
"78","16570","+19292080054","mtmEa4vFYa764G97sqQ9dQ","4.5","193","40.71735","-73.99855","$$"
"79","11181","+17187070370","5XQgZQF-5N94bkQ2d_PJIQ","4","185","40.78521","-73.95595","$$"
"80","16156","+18036061075","iigqtLntqUS18cXmEXofIQ","4.5","211","40.7451454550028","-73.9208489656448","$"
"81","6928","+12123334488","-Vo_vZt96xBjoxyJ5JNG2Q","3","119","40.75301","-73.92253","$$"
"82","16927","+17186311888","0EIIFAq7YmPk3tgPzVx82g","3.5","773","40.7870354831585","-73.9780057676476","$$"
"83","9483","+13472278337","at08QIzscH5uiuUI3sPVMQ","3.5","34","40.7657793972161","-73.7448179349303","$$$$"
"84","17720","+17183691068","EF4M55USa1ZNy1rP5Kuk2w","4","351","40.6907305802403","-73.99551244328","$"
"85","8941","+17184206050","jtuJ0XfzQFrWidk-390aKg","4","55","40.6906942","-73.9955284","$$"
"86","4136","+12125292363","nU_BG_lpObAJXWF9hvPD_w","2.5","12","40.67374","-73.98269","$$"
"87","1412","+12126880033","QO3Cg4zLgiNiN8A-tf9Xdg","3.5","50","40.644424","-74.098281","$"
"88","12754","+17186591020","41gVUqFxmbjqSQYjGV23Rw","3.5","284","40.7312881636412","-73.9943569108961","$"
"89","3828","+12125824446","x1xSBZN7MVlnBG7IgIB8kA","3.5","769","40.731266","-73.9943542","$"
"90","2857","+17185313630","O5Cm2yU32-Epf4HKEFAJEQ","3.5","108","40.75373","-73.96749","$$"
"91","11606","+19292591541","ExOHOMrBuPSFmDaLDvtSJw","3.5","11","40.68504","-73.82958","$"
"92","15209","+17183310833","5hUV9RDTi-DvjU_OpIit7g","3.5","600","40.7628273031386","-73.9878592313522","$$"
"93","19173","+12123553656","X5C_MjMixKcCQQBvd4Q_JQ","3","23","40.762882232666","-73.9884948730469","$"
"94","23269","+12019661400","T1Kvh7OyCu7aq29r3jZMRQ","2.5","53","40.61983","-73.91654","$$"
"95","21852","+17188975137","veFiyZ9DSrajrC16akLTbw","3.5","140","40.61821","-73.99956","$$$"
"96","13327","+12127520340","qf_AE2XEHzFsdLzZzRPHww","3","121","40.76052","-73.96756","$$"
"97","1659","+12129710605","-7b17IgC8MNVWDM-JV0-Tw","3","213","40.7602810309392","-73.9752696317286","$"
"98","16491","+12126971463","ypGzLFySw_JBin1noTz2Nw","3.5","143","40.75191","-73.99019","$"
"99","10859","+17186222228","EG7KhvgAMOUAZm3fHQ4Hig","3.5","64","40.6828275","-73.9621835","$"
"100","6336","+13472535410","ci5JmuyOD5dFSGGbCMBGww","3","17","40.6873932","-73.9545288","$$"
"101","5155","+12123553395","lbgn79yEh4fwB269YbQrKw","2.5","41","40.76065","-73.96583","$$"
"102","339","+12128737411","fSQ3CCtFSJ2S8VXDi02-3Q","4","455","40.77741","-73.98312","$$"
"103","6974","+13479873555","cQJxNryTjY5Yu-RyJwUq8w","3","73","40.683814","-73.967511","$$"
"104","10852","+17182576490","1wdAQF7PP3qRpaM_h8rtYQ","2.5","7","40.64626","-73.90337","$$"
"105","7916","+12127779477","XcGbIDxhntoefvAl9MgATA","1.5","4","40.631253","-73.887775","$$"
"106","15968","+12127271050","CjbSM0o6rw5H5nLZMnZNOA","1","7","40.646352","-73.903183","$$"
"107","10982","+17186222224","ONEe1U1fNGT80jAEE0sCrg","3.5","1148","40.7343869142235","-73.9921539848726","$"
"108","20700","+13473618054","s2ii7iNxb0-hGVxHf0yexw","4.5","114","40.7316536618558","-74.0017022376845","$"
"109","13762","+19172852516","e2ZTftJfo4w0HWz1-SgF9Q","4","166","40.7317073107033","-74.0015616640449","$$"
"110","348","+17187436626","fcGhPwDpEzo8sLXquK349w","3.5","701","40.679879","-73.974093","$"
"111","2674","+17184649795","qRch98CSKNUjqhf75xvZAw","3.5","30","40.6799","-73.97408","$"
"112","1145","+17188930168","oq9k52hvfnER-DnQf-NP0A","3","255","40.7574824149045","-73.830961074257","$"
"113","25534","+17189468300","B1Yj-pL_O52cFrEF3zxcTg","3","14","40.5834587","-73.9382176","$$"
"114","3930","+12127410096","zcFHYHTi6FtJKI4YNmf4gg","4","4","40.7132","-73.7363","$$"
"115","19570","+17184424616","qJhBPkPMIQKF-xUUhmAIJw","3.5","31","40.59968","-73.98972","$$"
"116","9839","+17182518095","gk79ap2kn51IBVo3KeHamA","3.5","66","40.741217","-73.993675","$$"
"117","6383","+12129243364","p8SNfFBToZNwjepsNcJv6w","3.5","40","40.6257554377981","-74.1627349024913","$$"
"118","2299","+12123697361","ZRN53Cvyvlpt0T4EiLFESg","2.5","15","40.6359205","-73.9129002","$$"
"119","12184","+17185573724","14MihK4uzuXthDx0lkUSWw","3.5","88","40.73395","-73.99343","$$"
"120","3756","+12124809010","I0rjVA3Zf2avhX-mNUAKeg","3.5","240","40.77921","-73.95037","$"
"121","10149","+12124907115","AeLz0uoZH3hxmkcXlwUIGg","3.5","101","40.70482","-74.01238",NA
"122","9430","+12125609300","ySMfUop846YG7uHBRrD_cg","3","62","40.760442763567","-73.9779612421989","$$"
"123","7095","+12124814222","rRSuJ0uloBtWFy-ySOonfw","3","64","40.751987","-73.973922","$$$"
"124","13811","+17185071660","FU7kf5iTw2-N_P3jgeqIYA","3.5","9","40.7578506","-73.9922333","$"
"125","9354","+12127777022","YIt7clIY0jpOEsl_fu1QLw","2.5","29","40.7580609","-73.9922694","$"
"126","323","+12129243557","NQyXBdvbt7c8MAaL5kBdhQ","2.5","107","40.7477684020996","-73.9822387695312","$$"
"127","436","+17186382925","FpPq4U85UJGa-WDioGyJ-Q","4","28","40.74405","-73.91497","$$"
"128","5300","+12129297100","j8cKSxr6aQ8qTx23FLyyiA","4.5","478","40.7251","-73.9778","$$"
"129","8086","+19175007865","zzaVbMFc9VH6EbSHJqfbCg","3","398","40.6767768859863","-73.9804840087891","$$"
"130","8921","+17188327760","qFw918xVIktxYVWL5mpUEg","3.5","572","40.7426318197007","-74.0062284491822","$$"
"131","11256","+17182048766","f_drbnpRrvOfLKWMiT247w","3.5","9","40.6544632","-74.0043609","$$"
"132","8093","+12125813130","pyKVtKH3usfawyL7Ft3D2w","3","3","40.6546096801758","-74.0045700073242","$$"
"133","11113","+17188780042","mRCpatZsFjQhbMxZQZcS-A","3.5","189","40.770352","-73.904303","$$"
"134","22740","+17182214300","GwkyRCv3SmdkfDA_sdE6kg","3.5","151","40.76002","-73.98907","$$"
"135","9349","+12123981475","FVHN5gjsWa6Yp-2loU_xlw","5","1","40.76253","-73.7967199","$$$$"
"136","16337","+19176186319","AAryaRPTYW-g5jk0u4lLVQ","3","34","40.7506675720215","-73.9852828979492","$$"
"137","937","+12128691929","Nf6AdXjwRis6K9Os6L3zJw","2.5","25","40.75057","-73.98536","$$"
"138","18273","+12129673055","3xLQDVQtaple70QG_o3SkA","3","35","40.75702","-73.97916","$"
"139","8010","+13478733086","N4q6Y9cpvUbJ3O5rydrSbQ","4","657","40.758103","-73.992529","$$"
"140","13250","+17187603050","FpFa7ev55vcg5vwej6o-8A","2.5","360","40.7350927","-73.8745674","$$"
