"","camis_ls","phone_ls","id","rating","review_count","lat","lon","price"
"1","11994","+17188558688","8Jz2IfS-BGCm1GniqJVe2A","4","123","40.694698","-73.994769","$$"
"2","11162","+17184430726","BUBBiAl7QF8lXYhmF_djtA","3","51","40.694698","-73.994773","$$"
"3","6157","+12125131451","3mGn36Y8olnVpx3PF3WqCQ","4","3","40.6968882485322","-73.9356899124947","$"
"4","19178","+12123096606","fOgH5Hh_YeSecT8YoaahwA","2","7","40.6968882485322","-73.9356899124947","$"
"5","4034","+17183330037","8uTTEIDkYuEXywiWcP5w-w","2.5","56","40.713782","-74.009077","$$"
"6","16123","+17327889337","sMut_DsLl-90UIu8aA0IqQ","2","6","40.6050033569336","-73.980842590332","$$$$"
"7","980","+12122241059","zn4PW7NVdgCvg7vxVXQ_Qg","3","991","40.74497","-73.98312","$$"
"8","3613","+12125327474","QHZxlt8nFqycBrxxizwKmA","4","93","40.684399","-73.929653","$$"
"9","16884","+13473782655","ZHbclkJ-gNC69T7DyoVfHA","3","15","40.745239","-73.99762","$$"
"10","20649","+16465737627","vk7W3_sQwr7eZbRFsXv6rw","4.5","2507","40.71789","-73.9988","$"
"11","1238","+17186413100","F1n2EAqybwEXdEoQQD8tnA","2.5","13","40.832787","-73.850914","$"
"12","6021","+12122420600","TzkFri9qw3g30GDC1q3-PA","4","262","40.7637210499282","-73.8082498239232","$$"
"13","17663","+12129662882","M9djaDnuGGp6Xv1cH16tGg","2.5","65","40.70317","-74.01135","$"
"14","16659","+17188282919","JuWDXlS2wH5ixJZOwktN6w","3","4","40.65009","-73.75436","$"
"15","22408","+17183530081","YdmyLZ7Mgz0fgW5hTJQd0Q","2","238","40.6442253839246","-73.7829130974625","$$"
"16","21576","+12123633030","EaNRl3vlDOsNF-gkCR5mBA","4.5","36","40.7838","-73.97806","$$$"
"17","12101","+17187514800","h4y2nmy8VOysU9WMayWtyw","3.5","4","40.63979","-73.95528","$"
"18","24376","+13477436487","X8Tg6XHKERw-vdWRU4oH3Q","3.5","231","40.667476","-73.987365","$$"
"19","19696","+19172615279","y9ftmfNAGhovak-jSVCh_w","3","73","40.6939597882157","-73.7535501576339","$$"
"20","12200","+13478135864","Ih7hLJl-UiGSrBEI3A12gA","3","104","40.7697443505402","-73.966497","$$$"
"21","7702","+17186934128","lxHKbp0hReRBPZcq4fUUow","4","489","40.758541","-73.966255","$$"
"22","7002","+17188320050","pC92jJr2d1VrxGKRNPPERA","4","132","40.72802","-73.98128","$"
"23","23549","+17187495782","KROBE-fyGxCMoRo8L4MAdQ","5","1","40.7280197143555","-73.9812774658203",NA
"24","1927","+12127941628","Baoj-zhDmw75vgqZecSnaw","3.5","8","40.749408","-73.862398","$$"
"25","5757","+12123197777","5IN4_NGwk9zedNHh99Cfhg","2","3","40.8267878","-73.8225588","$"
"26","18201","+16463950005","K8jxwX2nxPC5Smq6A0MFnw","5","49","40.80295","-73.95116","$$"
"27","24457","+12129823929","QzmcMbqoiPryBwyccmNJwA","3","33","40.7468319302522","-73.8906461146256","$"
"28","13085","+12129774788","D8cIy0bfj2VAs7PG9UyFTA","3","36","40.7517745166179","-73.9748676943397","$"
"29","936","+17184763476","IrDzCy5zbVGlw9OuP15Izw","4","207","40.84964","-73.78706","$$"
"30","21511","+17186788100","GszV6jjdoiNCgsiIhLnSmg","4","40","40.8286545","-73.8799436","$$"
"31","22630","+16465969622","hwR54p9AWwrOATd41l351w","4","181","40.711109161377","-73.8534774780273","$$$"
"32","12077","+17184572500","872q9Bva9Re-2EolMIB7LQ","3.5","10","40.7509774971147","-73.9921755556808","$$"
"33","10818","+12126977700","c1Tt0ocriHm7rDL8d-K5kg","4.5","3","40.751169","-73.992564",NA
"34","21426","+19178225937","ZCovHszvGGfU73hx1Db2iA","3","67","40.7514627416272","-73.9933718735322","$"
"35","1103","+17188859885","RIEeYsYyfahZoFav7zMFzw","3","14","40.7516241","-73.9924959","$"
"36","17359","+17183281252","zGr7wWZkz4BulSakGM0UgQ","3","17","40.7506085432919","-73.9921478247893","$"
"37","2698","+17182687860","uATOGEEZ3cZFXh7RGKJnWQ","1","2","40.751115","-73.992472","$"
"38","13586","+12125947817","NpJvnY_4KaUPfodDSXCgjg","2","21","40.751395","-73.993063","$"
"39","22515","+12129667199","bvU8isunruqpq4LPbJ67nA","3.5","200","40.63544","-74.02633","$$"
"40","15298","+17184910662","8VTSpsJCyB-wgtCFkSTszg","3","1754","40.7876039","-73.8371003","$$"
"41","20552","+17189742010","mmJ72_R1HvpSz6a3l7jYnA","3.5","171","40.7751535105423","-73.9569666","$$"
"42","5742","+17189396300","U-VF6WSAWTN_6iDpWd5kqw","4","441","40.7233696141088","-73.9881201811982","$"
"43","19116","+19177455873","9E-tviJVpxWCG6Ft53U2cA","2","64","40.742347","-73.874259","$"
"44","1113","+12129889780","C13a1v9NZqWrGJnuCCil5A","3","56","40.70656","-74.01363","$$"
"45","19264","+19174689850","ZtCD7e_LlW-pwEUY6bvusQ","4","72","40.641891","-74.016845","$"
"46","7576","+12127806020","pzqb1u_GeU-vkrk_KdFieQ","4","488","40.704228","-73.986241","$$"
"47","2813","+17184573030","3o5ABdDmf0oNWwVrzh-ieA","4","169","40.742283","-73.991809","$"
"48","147","+12127677000","rw2k25-47ETweckMYE4A8A","4","13","40.70291","-73.9894599","$$"
"49","119","+12122694988","lXKpyVhiMDbc8pxFbHLfIQ","5","7","40.7168961","-73.9657528","$"
"50","21676","+12123443465","KwPHUOFz9z7juKNHaCmRxg","3","7","40.7037610288699","-73.9909785263192","$"
"51","9784","+17184399893","aKiiSSgWkfHNw-kT35vuig","5","2","40.837612071803","-73.91107380376","$$"
"52","19026","+17182583869","D3UNlDZDjdJtWR3j_b4JXw","3.5","573","40.75654","-73.98579","$"
"53","17415","+17188551000","VWiKAEzdATXDYxdomqQ9Ig","4","103","40.82468","-73.9478","$$$"
"54","24541","+13472701708","byye4kc-xGk8qCxR0ZuUdA","4","54","40.6216049194336","-73.9052124023438",NA
"55","4464","+12122655400","qmjrHbRhSW5ywHbbzVcFCQ","3","1","40.6215","-73.90515","$"
"56","23599","+15166433909","b9kfEjoMXIPARUyrYMurqw","3.5","126","40.7441735851668","-73.9953335752055",NA
"57","23359","+13475368039","bURH4qveaTBpJM3bDp67Pw","1","1","40.74412","-73.9953","$$"
